,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS,CUCB-SW
4123,0.0,0.0,1.0000000000000004,4.09195958091332,3.0919595809133202,4.09195958091332,3.0119575793949216
4124,0.0,0.0,0.0,0.5123620356542089,0.5123620356542089,0.5123620356542089,2.852727454344661
4125,1.0,0.0,1.0,1.579597545259111,0.16217246160865129,1.579597545259111,2.3296898382469236
4126,0.0,0.0,0.0,1.0919595809133202,1.0919595809133202,1.0919595809133202,2.4889199632971843
4127,0.0,0.0,1.0,1.579597545259111,1.0,1.579597545259111,2.852727454344661
4128,0.0,0.0,1.0,1.512362035654209,1.0,1.512362035654209,2.9858703201954517
4129,0.0,0.0,1.0,2.512362035654209,1.512362035654209,2.512362035654209,2.9858703201954517
4130,-1.0000000000000004,0.0,0.0,3.09195958091332,0.5123620356542089,2.09195958091332,2.9858703201954517
4131,-1.0,0.0,0.0,1.512362035654209,-1.0,1.512362035654209,2.936248940499627
4132,0.0,0.0,5.468314480309656,6.047912025568767,4.050889396659196,6.047912025568767,1.728356734743823
4133,0.0,0.0,5.468314480309656,7.560274061222977,4.050889396659198,7.560274061222977,0.48155008162773383
4134,1.0000000000000004,0.0,-1.0,2.0919595809133202,1.5123620356542093,2.0919595809133202,1.8486724124337983
4135,0.0,0.0,5.468314480309656,7.560274061222977,5.980676515963866,7.560274061222977,2.9146804642224224
4136,-1.0000000000000004,0.0,0.0,3.09195958091332,-1.0000000000000004,3.09195958091332,2.308121361969719
4137,0.0,0.0,1.0000000000000004,4.09195958091332,1.5795975452591113,4.09195958091332,1.667873811106333
4138,1.0000000000000004,0.0,1.0000000000000004,3.0919595809133202,2.5795975452591113,3.0919595809133202,1.7779781144396476
4139,0.0,0.0,1.0000000000000004,3.0919595809133202,-0.4174250836504587,3.0919595809133202,1.667873811106333
4140,-1.0000000000000004,0.0,0.0,3.09195958091332,1.579597545259111,3.09195958091332,1.7779781144396476
4141,-1.0000000000000018,0.0,4.468314480309655,7.560274061222975,1.6745344972628597,7.560274061222975,1.667873811106333
4142,1.0000000000000004,0.0,0.0,2.0919595809133202,1.5795975452591113,2.0919595809133202,2.9858703201954517
4143,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,2.5123620356542093,4.09195958091332,2.2954687338216315
4144,-1.0000000000000004,0.0,-1.0000000000000004,1.0919595809133198,-1.0000000000000004,1.0919595809133198,2.3296898382469236
4145,0.0,0.0,1.0,0.0,0.0,0.0,2.781537598371631
4146,0.0,0.0,1.0000000000000004,3.0919595809133202,1.5123620356542093,3.0919595809133202,2.9858703201954517
4147,1.0000000000000018,0.0,5.468314480309656,7.560274061222977,7.560274061222977,7.560274061222977,2.2954687338216315
4148,1.0,0.0,1.0,1.579597545259111,1.0,1.579597545259111,2.9858703201954517
4149,0.0,0.0,1.0000000000000004,4.09195958091332,0.5795975452591113,4.09195958091332,1.8752552296121467
4150,0.0,0.0,1.0000000000000004,4.09195958091332,0.5123620356542093,4.09195958091332,3.0615789590907463
4151,0.0,0.0,1.0000000000000004,4.09195958091332,1.5795975452591113,4.09195958091332,3.0615789590907463
4152,0.0,0.0,5.468314480309656,8.560274061222977,3.091959580913321,8.560274061222977,3.0615789590907463
4153,0.0,0.0,1.0000000000000004,3.0919595809133202,0.5123620356542093,3.0919595809133202,3.0615789590907463
4154,0.0,0.0,1.0000000000000004,3.0919595809133202,2.5795975452591113,3.0919595809133202,3.0615789590907463
4155,0.0,0.0,1.0,1.579597545259111,1.579597545259111,1.579597545259111,3.0615789590907463
4156,-1.0000000000000004,0.0,0.0,2.09195958091332,0.5123620356542089,2.09195958091332,3.0615789590907463
4157,0.0,0.0,0.0,3.0919595809133202,0.5795975452591113,3.0919595809133202,3.0615789590907463
4158,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,4.09195958091332,4.09195958091332,3.0615789590907463
4159,0.0,0.0,0.0,1.579597545259111,1.0,1.579597545259111,1.7435824500016275
4160,1.0,0.0,1.0,2.579597545259111,0.0,2.579597545259111,1.765150926278832
4161,0.0,0.0,0.0,0.5795975452591109,1.579597545259111,0.5795975452591109,3.0615789590907463
4162,0.0,0.0,0.0,3.0919595809133202,1.5123620356542093,3.0919595809133202,3.0615789590907463
4163,0.0,0.0,0.0,3.09195958091332,1.512362035654209,3.09195958091332,1.8536867533349421
4164,0.0,0.0,0.0,2.0919595809133202,1.5123620356542093,2.0919595809133202,1.7435824500016275
4165,1.0,0.0,1.0,2.579597545259111,1.579597545259111,2.579597545259111,1.8536867533349421
4166,0.0,0.0,1.0000000000000004,4.09195958091332,0.5123620356542093,3.0919595809133202,1.8536867533349421
4167,0.0,0.0,1.0000000000000004,3.0919595809133202,0.5795975452591113,3.0919595809133202,2.3496088964397215
